Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16628416k(9554324k free), swap 19905216k(12933048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=629145600 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.501: [GC (Allocation Failure) 0.501: [DefNew: 959K->64K(960K), 0.0023625 secs] 23227K->23051K(524224K), 0.0024358 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.506: [GC (Allocation Failure) 0.506: [DefNew: 960K->63K(960K), 0.0027156 secs] 23979K->23818K(524224K), 0.0027779 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.510: [GC (Allocation Failure) 0.510: [DefNew: 959K->63K(960K), 0.0023176 secs] 24727K->24523K(524224K), 0.0023924 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.516: [GC (Allocation Failure) 0.516: [DefNew: 959K->64K(960K), 0.0029251 secs] 25427K->25374K(524224K), 0.0030029 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.521: [GC (Allocation Failure) 0.521: [DefNew: 960K->64K(960K), 0.0027926 secs] 26290K->26149K(524224K), 0.0028711 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.526: [GC (Allocation Failure) 0.526: [DefNew: 960K->63K(960K), 0.0024365 secs] 27070K->26913K(524224K), 0.0025034 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.531: [GC (Allocation Failure) 0.531: [DefNew: 959K->63K(960K), 0.0037634 secs] 27832K->27698K(524224K), 0.0038543 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.538: [GC (Allocation Failure) 0.538: [DefNew: 959K->63K(960K), 0.0025687 secs] 28610K->28501K(524224K), 0.0026306 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.542: [GC (Allocation Failure) 0.542: [DefNew: 959K->63K(960K), 0.0025026 secs] 29418K->29277K(524224K), 0.0025676 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.550: [GC (Allocation Failure) 0.550: [DefNew: 959K->63K(960K), 0.0035968 secs] 30704K->30593K(524224K), 0.0036769 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.556: [GC (Allocation Failure) 0.556: [DefNew: 959K->64K(960K), 0.0024584 secs] 31526K->31341K(524224K), 0.0025200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
